"Rk","Gtm","Date","Var.4","Opp","Rslt","PA","AB","R","H","X2B","X3B","HR","RBI","BB","IBB","SO","HBP","SH","SF","ROE","GDP","SB","CS","BA","OBP","SLG","OPS","LOB","X.","Thr","Opp..Starter..GmeSc.","Team","Field"
42,42,"May 16","","CHW","W,7-6",48,42,7,13,3,0,0,7,6,2,7,0,0,0,0,1,2,0,0.237,0.307,0.371,0.678,10,"11","L","D.Holland(49)","LAA","Home"
43,43,"May 17","","CHW","W,12-8",41,35,12,13,2,1,1,11,6,0,4,0,0,0,1,2,0,0,0.24,0.311,0.376,0.686,5,"11","R","M.Gonzalez(34)","LAA","Home"
44,44,"May 19","@","NYM","L,0-3",36,32,0,6,1,0,0,0,3,1,12,1,0,0,0,0,0,1,0.239,0.31,0.372,0.682,9,"14","R","J.deGrom(75)","LAA","Away"
45,45,"May 20","@","NYM","L,5-7",42,32,5,8,0,0,0,5,8,0,8,1,0,1,0,2,0,0,0.24,0.312,0.37,0.682,10,"17","R","Z.Wheeler(51)","LAA","Away"
46,46,"May 21","@","NYM","W,12-5",47,36,12,12,3,0,4,12,9,1,9,1,1,0,1,1,2,1,0.242,0.317,0.379,0.695,8,"14","L","T.Milone(11)","LAA","Away"
47,47,"May 22","@","TBR","W,3-2",38,29,3,5,1,0,1,2,8,2,10,0,0,1,0,1,2,1,0.24,0.317,0.377,0.695,8,"10","R","J.Odorizzi(59)","LAA","Away"
48,48,"May 23","@","TBR","W,4-0",37,32,4,9,2,0,2,4,4,1,6,0,0,1,0,1,0,1,0.241,0.318,0.38,0.698,6,"9","R","A.Cobb(50)","LAA","Away"
49,49,"May 24","@","TBR","L,2-5",33,31,2,4,3,0,1,2,2,0,6,0,0,0,0,0,0,0,0.239,0.316,0.379,0.695,4,"10","R","E.Ramirez(57)","LAA","Away"
50,50,"May 25","@","TBR","L,0-4",35,31,0,6,3,0,0,0,3,0,5,1,0,0,0,1,0,0,0.238,0.315,0.378,0.693,8,"11","R","M.Andriese(73)","LAA","Away"
51,51,"May 26","@","MIA","L,5-8",39,37,5,9,3,0,2,5,2,0,7,0,0,0,1,0,0,0,0.238,0.314,0.38,0.694,7,"17","R","D.Straily(48)","LAA","Away"
52,52,"May 27","@","MIA","W,5-2",40,35,5,8,1,1,1,5,4,1,7,1,0,0,0,0,2,0,0.238,0.315,0.38,0.695,8,"12","R","V.Worley(57)","LAA","Away"
53,53,"May 28","@","MIA","L,2-9",38,30,2,4,0,0,1,2,7,0,10,1,0,0,1,2,3,0,0.236,0.315,0.378,0.692,9,"16","R","J.Urena(54)","LAA","Away"
54,54,"May 29","","ATL","L,3-6",36,33,3,7,0,0,3,3,2,0,7,1,0,0,0,1,3,0,0.236,0.314,0.38,0.694,6,"9","R","J.Teheran(53)","LAA","Home"
55,55,"May 30","","ATL","W,9-3",41,38,9,10,1,0,1,9,3,0,7,0,0,0,3,0,1,0,0.237,0.314,0.38,0.694,8,"10","R","B.Colon(22)","LAA","Home"
56,56,"May 31","","ATL","W,2-1",31,28,2,6,0,0,1,1,3,0,4,0,0,0,2,3,2,1,0.236,0.314,0.379,0.692,5,"9","L","J.Garcia(64)","LAA","Home"
57,57,"Jun 1","","MIN","L,2-4",36,34,2,9,1,0,2,2,2,0,8,0,0,0,0,0,0,0,0.237,0.314,0.38,0.694,7,"11","L","A.Mejia(61)","LAA","Home"
58,58,"Jun 2","","MIN","L,5-11",36,34,5,9,3,0,1,4,2,0,8,0,0,0,1,2,1,0,0.237,0.313,0.381,0.695,4,"12","R","K.Gibson(53)","LAA","Home"
59,59,"Jun 3","","MIN","W,7-2",39,34,7,12,0,0,3,7,4,0,2,1,0,0,0,2,0,0,0.239,0.316,0.385,0.701,8,"9","R","E.Santana(19)","LAA","Home"
60,60,"Jun 4","","MIN","L,2-3",34,30,2,7,1,0,0,1,3,0,4,1,0,0,0,3,0,1,0.239,0.316,0.384,0.699,5,"10","R","J.Berrios(54)","LAA","Home"
61,61,"Jun 6","@","DET","W,5-3",36,30,5,6,1,0,2,4,5,0,7,0,0,1,0,0,2,2,0.239,0.315,0.384,0.7,4,"9","L","D.Norris(52)","LAA","Away"
62,62,"Jun 7","@","DET","L,0-4",30,28,0,3,0,0,0,0,2,0,5,0,0,0,0,2,0,0,0.237,0.314,0.381,0.694,3,"9","R","B.Farmer(72)","LAA","Away"
